店舗番号,店名,店舗カテゴリ,主な取扱い,営業時間,紹介⽂,URLエイリアス,店舗画像
0,にゃんコツ神社,神社,お守り、絵馬、神事,8〜16時,神社入り口付近でお守りや絵馬を販売しています。,/shop/0,shop0.jpg
1,うどん・そば　たかやなぎ,和食,うどん・そば,11〜20時,店主自慢の手打ちのうどん、そばをお楽しみください。ランチタイムにはお得なセットもあります。,/shop/1,shop1.jpg
2,御菓子処　ながゐ,和菓子,饅頭　団子（にゃんコツ饅頭）,10〜17時,店頭でにゃんコツの人形焼を販売しています。季節の和菓子、あん餅、干菓子、小さなお店ですが、爺と婆でできる範囲で仲良くやってます。,/shop/2,shop2.jpg
3,酒倉,酒,希少な日本酒　飲食店への卸,10〜20時,日本全国の酒蔵を旅して集めた知る人ぞ知る逸品が勢揃い。角打ちで試飲もできます。美味しいおつまみもあるよ。でも美味しい酒ばっかりだから飲み過ぎには要注意！,/shop/3,shop3.jpg
4,バーバ ダンディ,理容,ヘアカット　シェービング,8〜19時,男のダンディズムは髪型から。無口な店主は太い眉毛と濃ゆい髭がトレードマーク。長年の経験と自慢の技術であなたのエレガンスを演出します。喫煙可。 ,/shop/4,shop4.jpg
5,:ecru,服（女性）,女性服（30-40代向け）,10〜12時、13〜18時,ゆったりとした時と暮らしたいあなたへ。シンプルながらもシルエットの美しいリネンのお洋服を揃えています。 ,/shop/5,shop5.jpg
6,本と文具の光琳堂,本・文具,書籍、文房具,10〜21時,書籍・雑誌・文具・図書カードを販売。お薦め本や文房具を揃えた『光琳堂スタッフオススメコーナー』毎月更新しています。,/shop/6,shop6.jpg
7,猫の洋菓子店,洋菓子,ケーキ、焼き菓子,10〜18時,猫好き店主（でも猫アレルギー）の猫まみれな不思議な洋菓子店。席は少ないですが、イートインもできます。,/shop/7,shop7.jpg
8,寿司の紀邑,寿司,握り寿司,11〜14時、18〜22時,出前　テイクアウトOK。磯崎市場から新鮮な魚介を毎日仕入れています。6名様までお入り頂ける奥座敷もございます（３日前までに要予約） ,/shop/8,shop8.jpg
9,カフェ　ボンジュール,カフェ,珈琲　モーニングセット,7〜17時,お隣のクロワッサンさんの焼きたてパン＆コーヒーセットが人気です。お参りやお買い物の休憩に是非どうぞ。,/shop/9,shop9.jpg
